J121546-173146,radec gaincal,12:15:46.84,-17:31:46.2
J122039-374015,radec gaincal,12:20:39.36,-37:40:15.9
J123943-102328,radec gaincal,12:39:43.04,-10:23:28.6
J124312-211212,radec gaincal,12:43:12.24,-21:12:12.7
J124646-254748,radec gaincal,12:46:46.9,-25:47:48.2
J125611-054720 | 3C279,radec gaincal,12:56:11.7,-05:47:21.52
J125720-333437,radec gaincal,12:57:20.71,-33:34:37.8
J125758-315516,radec gaincal,12:57:59.09,-31:55:16.8
J130100-322629,radec gaincal,13:01:00.53,-32:26:29.0
J130949-001236,radec gaincal,13:09:49.66,-00:12:36.6
J131139-221641,radec gaincal,13:11:39.33,-22:16:41.74
J131608-333901,radec gaincal,13:16:07.95,-33:39:01.9
J132738-020311,radec gaincal,13:27:38.26,-02:03:11.2
J133037+250911 | 3C287,radec gaincal,13:30:37.69,+25:09:10.9
J133108+303033 | 3C286,radec bpcal,13:31:08.288,+ 30:30:32.959
J133335-330524,radec gaincal,13:33:35.82,-33:05:24.1
J133739-125724,radec gaincal,13:37:39.83,-12:57:24.6
J134354-373353,radec gaincal,13:43:54.38,-37:33:53.7
J134503-314012,radec gaincal,13:45:03.89,-31:40:12.8
J134537-005706,radec gaincal,13:45:37.4,-00:57:06.9
J134733+121724,radec gaincal,13:47:33.36,+12:17:24.238
J140649-015417,radec gaincal,14:06:49.11,-01:54:17.0
J141630-364136,radec gaincal,14:16:31.16,-36:41:36.3
J142336-181613,radec gaincal,14:23:36.28,-18:16:13.7
J142414-382626,radec gaincal,14:24:14.82,-38:26:26.5
J142432-491350,radec gaincal,14:24:32.08,-49:13:50.7
J142558-175642,radec gaincal,14:25:58.03,-17:56:42.2
J142756-420618,radec gaincal,14:27:56.22,-42:06:18.6
J145432-401230,radec gaincal,14:54:32.87,-40:12:30.3
J145915-365548,radec gaincal,14:59:15.81,-36:55:48.4
