J030313-001459,radec gaincal,03:03:13.05,-00:14:59.8
J030350-621125,radec gaincal,03:03:50.81,-62:11:25.4
J030455-355650,radec gaincal,03:04:56.11,-35:56:47.4
J030919-103839,radec gaincal,03:09:19.94,-10:38:39.5
J031522-031646,radec gaincal,03:15:22.78,-03:16:46.2
J031857+162833 | CTA21,radec gaincal,03:18:57.77,16:28:33.1
J032320+053411,radec gaincal,03:23:20.31,05:34:11.9
J032836-284147,radec gaincal,03:28:36.53,-28:41:47.9
J033004-163848,radec gaincal,03:30:04.83,-16:38:48.6
J033848-352219,radec gaincal,03:38:48.21,-35:22:19.3
J033930-014635,radec gaincal,03:39:30.94,-01:46:35.8
J034035-211931,radec gaincal,03:40:35.62,-21:19:31.7
J034205-370321,radec gaincal,03:42:05.4,-37:03:20.9
J035232-071104,radec gaincal,03:52:32.04,-07:11:04.4
J035946-370025,radec gaincal,03:59:46.68,-37:00:25.9
J040016-161013,radec gaincal,04:00:16.51,-16:10:13.6
J040533-130814,radec gaincal,04:05:33.94,-13:08:14.4
J040658-382629,radec gaincal,04:06:58.98,-38:26:29.1
J040748-121133,radec gaincal,04:07:48.44,-12:11:33.4
J040820-654508 | 0408-658,radec bpcal,04:08:20.38,-65:45:09.6
J040848-750720,radec gaincal,04:08:48.47,-75:07:20.0
J040906-175709,radec gaincal,04:09:06.68,-17:57:09.4
J041222-005932,radec gaincal,04:12:22.63,-00:59:32.6
J041509-292906,radec gaincal,04:15:09.23,-29:29:06.0
J041604-205627,radec gaincal,04:16:04.33,-20:56:27.9
J041946-395005,radec gaincal,04:19:47.0,-39:50:03.7
J042056-622337,radec gaincal,04:20:56.19,-62:23:37.6
J042315-012032,radec gaincal,04:23:15.8,-01:20:32.4
J042346-340240,radec gaincal,04:23:46.88,-34:02:41.5
J042840-375619,radec gaincal,04:28:40.42,-37:56:19.3
J042940-363055,radec gaincal,04:29:40.22,-36:30:56.0
J043300-295616,radec gaincal,04:33:00.38,-29:56:13.0
J043736-295406,radec gaincal,04:37:36.59,-29:54:5.3
J044017-433309,radec gaincal,04:40:17.07,-43:33:09.0
J045314-280736,radec gaincal,04:53:14.67,-28:07:36.6
J045514-300642,radec gaincal,04:55:14.31,-30:06:47.2
J045550-461559,radec gaincal,04:55:50.54,-46:15:59.8
J045828-300707,radec gaincal,04:58:26.2,-30:07:07.9
J051011-121045,radec gaincal,05:10:11.69,-12:10:45.5
J051100-220156,radec gaincal,05:11:00.63,-22:01:56.7
J051329-303015,radec gaincal,05:13:28.49,-30:30:33.8
J052109+163822 | 3C138,radec bpcal,05:21:09.93,+16:38:22.2
J052149-061251,radec gaincal,05:21:49.55,-06:12:51.4
J052257-362731,radec gaincal,05:22:58.03,-36:27:31.0
J052332-325122,radec gaincal,05:23:33.15,-32:51:22.8
J053444+192721,radec gaincal,05:34:44.51,+19:27:21.7
J053850-440510,radec gaincal,05:38:50.18,-44:05:10.3
J055049-314426,radec gaincal,05:50:49.68,-31:44:26.1
J055615-322309,radec gaincal,05:56:15.46,-32:23:07.0
