J180249-020740,radec gaincal,18:02:49.88,-02:07:40.3
J181935-634548,radec gaincal,18:19:35.04,-63:45:48.6
J182035-390929,radec gaincal,18:20:35.46,-39:09:29.3
J182319-272627,radec gaincal,18:23:19.55,-27:26:27.6
J183058-360230,radec gaincal,18:30:58.97,-36:02:31.7
J183232-342238,radec gaincal,18:32:32.49,-34:22:38.6
J183339-210340,radec gaincal,18:33:39.915,-21:03:40.05
J185710-301945,radec gaincal,18:57:10.62,-30:19:45.1
J191109-200655,radec gaincal,19:11:09.69,-20:06:55.5
J191157-054820,radec gaincal,19:11:57.49,-05:48:20.2
J191927-295751,radec gaincal,19:19:27.38,-29:57:51.1
J192155-352639,radec gaincal,19:21:55.21,-35:26:39.7
J192332-210433,radec gaincal,19:23:32.2,-21:04:33.7
J192451-291431 | OV-236,radec gaincal,19:24:51.11,-29:14:31.0
J192628-324242,radec gaincal,19:26:28.35,-32:42:42.6
J193135-140559,radec gaincal,19:31:35.56,-14:05:59.5
J193321-394005,radec gaincal,19:33:20.94,-39:40:05.8
J193654-002157,radec gaincal,19:36:54.1,-00:21:57.9
J193716-395800,radec gaincal,19:37:16.27,-39:58:00.9
J193925-634243 | 1934-638,radec bpcal,19:39:25.05,-63:42:43.63
J194013-225955,radec gaincal,19:40:13.69,-22:59:55.0
J194114-152431,radec gaincal,19:41:14.97,-15:24:31.3
J195123-273720,radec gaincal,19:51:23.26,-27:37:20.5
J195759-384505,radec gaincal,19:57:59.67,-38:45:05.3
J195903-353432,radec gaincal,19:59:03.79,-35:34:32.5
J200756-101638,radec gaincal,20:07:56.81,-10:16:38.4
J200925-484953,radec gaincal,20:09:25.1,-48:49:53.9
J201427+233452,radec gaincal,20:14:27.58,+23:34:52.9
J202807-152120,radec gaincal,20:28:07.23,-15:21:20.9
J203547-345403,radec gaincal,20:35:47.61,-34:54:03.7
J205616-471448,radec gaincal,20:56:16.22,-47:14:48.1
