J060202-381911,radec gaincal,06:02:02.97,-38:19:11.5
J060311-342645,radec gaincal,06:03:11.18,-34:26:45.1
J060414-315555,radec gaincal,06:04:14.63,-31:55:55.8
J060759-083450,radec gaincal,06:07:59.74,-08:34:50.2
J060941-154240,radec gaincal,06:09:41.0,-15:42:40.5
J062032-251516,radec gaincal,06:20:32.14,-25:15:16.5
J062627-164035,radec gaincal,06:26:27.35,-16:40:35.3
J063545-751615,radec gaincal,06:35:45.05,-75:16:15.3
J064544-155015,radec gaincal,06:45:44.27,-15:50:15.8
J064810-395624,radec gaincal,06:48:10.93,-39:56:24.5
J064828-174405,radec gaincal,06:48:28.52,-17:44:05.0
J065717-320333,radec gaincal,06:57:17.06,-32:03:33.6
J070319-005102,radec gaincal,07:03:19.13,-00:51:2.4
J071020-034326,radec gaincal,07:10:20.13,-03:43:26.9
J071546-023101,radec gaincal,07:15:46.95,-02:31:01.3
J071717-250453,radec gaincal,07:17:17.63,-25:04:53.1
J072121-120532,radec gaincal,07:21:21.16,-12:05:32.7
J072550-005458,radec gaincal,07:25:50.68,-00:54:58.0
J073019-114112,radec gaincal,07:30:19.15,-11:41:12.3
J073042-262035,radec gaincal,07:30:42.23,-26:20:35.6
J073106-234148,radec gaincal,07:31:06.66,-23:41:48.5
J073545-173548,radec gaincal,07:35:45.84,-17:35:48.3
J073833-020421,radec gaincal,07:38:33.91,-02:04:21.1
J075130-385220,radec gaincal,07:51:30.33,-38:52:20.0
J075711-113756,radec gaincal,07:57:11.03,-11:37:56.6
J082057-125858,radec gaincal,08:20:57.48,-12:58:58.6
J082514-284705,radec gaincal,08:25:14.24,-28:47:05.5
J082536-501028 | 0823-500,radec bpcal,08:25:26.86,-50:10:38.486
J082606-353247,radec gaincal,08:26:06.54,-35:32:47.6
J082717-202622,radec gaincal,08:27:17.31,-20:26:22.9
J083711-195155,radec gaincal,08:37:11.23,-19:51:55.9
J084649-294244,radec gaincal,08:46:49.03,-29:42:44.1
J085300-204726,radec gaincal,08:53:00.27,-20:47:26.3
J085348-142751,radec gaincal,08:53:48.92,-14:27:51.8
J085448+200630,radec gaincal,08:54:48.87,+20:06:30.7
J085711-033940,radec gaincal,08:57:11.67,-03:39:40.4
J085805-195036,radec gaincal,08:58:05.37,-19:50:36.2
J085938-192225,radec gaincal,08:59:38.65,-19:22:25.8
