J090652-682939,radec gaincal,09:06:52.23,-68:29:39.9
J100800+074016 | 3C237,radec gaincal,10:08:00.016,+07:30:16.552
J102011-324534,radec gaincal,10:20:11.69,-32:45:34.8
J104644-360113,radec gaincal,10:46:44.9,-36:01:13.4
J105104-313813,radec gaincal,10:51:04.75,-31:38:14.1
J105132-202347,radec gaincal,10:51:32.11,-20:23:47.9
J105533-283133,radec gaincal,10:55:33.48,-28:31:33.7
J105709-371830,radec gaincal,10:57:09.56,-37:18:30.4
J105829+013358,radec gaincal,10:58:29.62,+01:33:58.2
J105854-362044,radec gaincal,10:58:54.93,-36:20:44.4
J110203-011618,radec gaincal,11:02:03.91,-01:16:18.3
J110622-210900,radec gaincal,11:06:22.18,-21:09:00.8
J110631-005251,radec gaincal,11:06:31.77,-00:52:51.5
J111332-021255,radec gaincal,11:13:32.13,-02:12:55.2
J111917-052707,radec gaincal,11:19:17.36,-05:27:07.9
J112009-250807,radec gaincal,11:20:09.14,-25:08:07.2
J112556-352315,radec gaincal,11:25:56.57,-35:23:15.9
J113007-144927 | B1127-145,radec bpcal,11:30:07.05,-14:49:27.2
J113910-135042,radec gaincal,11:39:10.69,-13:50:42.9
J113917-322237,radec gaincal,11:39:17.53,-32:22:37.7
J114134-285052,radec gaincal,11:41:34.54,-28:50:52.1
J114620-315715,radec gaincal,11:46:20.54,-31:57:15.9
J114628-332840,radec gaincal,11:46:28.53,-33:28:40.6
J114701-381210,radec gaincal,11:47:01.35,-38:12:10.9
J115043-002354,radec gaincal,11:50:43.88,-00:23:54.3
J115421-350532,radec gaincal,11:54:21.76,-35:05:29.4
