J210933-411021,radec gaincal,21:09:33.12,-41:10:21.2
J211001-102058,radec gaincal,21:10:01.03,-10:20:58.1
J211810-301916,radec gaincal,21:18:10.69,-30:19:15.1
J212344+250410,radec gaincal,21:23:44.59,+25:04:10.8
J213101-203656,radec gaincal,21:31:01.52,-20:36:56.1
J213135-120706,radec gaincal,21:31:35.26,-12:07:06.2
J213410-015317,radec gaincal,21:34:10.31,-01:53:17.0
J213638+004154 | 2134+004,radec gaincal,21:36:38.57,+00:41:54.5
J214805+065739,radec gaincal,21:48:05.48,+06:57:39.4
J215155-302754,radec gaincal,21:51:55.66,-30:27:54.7
J215203-282829,radec gaincal,21:52:03.78,-28:28:29.0
J215806-150109,radec gaincal,21:58:06.3,-15:01:09.1
J220114-374649,radec gaincal,22:01:14.09,-37:46:49.8
J220156-332100,radec gaincal,22:01:56.41,-33:21:00.2
J220610-183539,radec gaincal,22:06:10.33,-18:35:39.0
J221124-132810,radec gaincal,22:11:24.18,-13:28:10.1
J221426-170134 | 3C444,radec gaincal,22:14:25.6,-17:01:36
J221811-302400,radec gaincal,22:18:11.17,-30:24:00.3
J222547-045701 | 3C446,radec bpcal,22:25:47.259,-04:57:01.390
J222946-382359,radec gaincal,22:29:46.75,-38:23:58.0
J223236+114350 | CTA102,radec gaincal,22:32:36.408,+11:43:50.904
J224326-254430,radec gaincal,22:43:26.38,-25:44:30.3
J224618-120652,radec gaincal,22:46:18.28,-12:06:52.0
J224633-304446,radec gaincal,22:46:33.91,-30:44:46.0
J224703-365747,radec gaincal,22:47:03.82,-36:57:47.4
J224838-323551,radec gaincal,22:48:38.54,-32:35:51.4
J225357+160853 | 3C454.3,radec gaincal,22:53:57.748,+16:08:53.56
J231007-275751,radec gaincal,23:10:07.4,-27:57:51.6
J231622-115714,radec gaincal,23:16:22.71,-11:57:14.3
J231634-140905,radec gaincal,23:16:34.84,-14:09:5.8
J231953-365627,radec gaincal,23:19:53.53,-36:56:27.8
J232654-020210,radec gaincal,23:26:54.47,-02:02:10.3
J232917-473019,radec gaincal,23:29:17.74,-47:30:19.2
J232933-192305,radec gaincal,23:29:33.74,-19:23:05.1
J233648-344404,radec gaincal,23:36:48.29,-34:44:04.5
J233756-175223,radec gaincal,23:37:56.29,-17:52:23.8
J233859-041333,radec gaincal,23:38:59.19,-04:13:33.8
J234802-163112,radec gaincal,23:48:02.62,-16:31:12.6
J235156-010916,radec gaincal,23:51:56.21,-01:09:16.3
J235731-112538,radec gaincal,23:57:31.25,-11:25:38.9
J235753-531115,radec gaincal,23:57:53.14,-53:11:15.6
